word, attempts, failed, match loop, required loop, allowed loop
caste, 6807, 47, 1519764, 71789, 3903408
paste, 6840, 47, 1538324, 77318, 3965976
lapse, 6847, 47, 1701753, 100402, 4412219
strap, 6871, 47, 1368352, 81902, 3589244
store, 6892, 47, 1424209, 62538, 3722550
gaunt, 6938, 47, 1874999, 69154, 4688001
tramp, 6940, 47, 1812906, 81142, 4548075
pansy, 6969, 47, 1616374, 103112, 4254434
probe, 7022, 47, 1731751, 84924, 4418909
spray, 7022, 47, 1480797, 75215, 3896914
pulse, 7023, 47, 1614133, 95279, 4267492
trick, 7030, 47, 1869361, 79518, 4733697
farce, 7034, 47, 1726460, 68551, 4367312
decor, 7039, 47, 1742668, 84876, 4481500
horde, 7051, 47, 1934849, 63139, 4764237
stank, 7052, 47, 1525631, 66976, 3973525
chose, 7056, 47, 1528708, 77778, 4042031
death, 7076, 47, 1796840, 62443, 4432792
depth, 7092, 47, 1719824, 94997, 4522585
screw, 7101, 47, 1389942, 108651, 3810944
graph, 7162, 47, 1853804, 82042, 4583928
power, 7225, 47, 1797921, 76840, 4509587
leapt, 6679, 48, 1817755, 74276, 4511701
scant, 6811, 48, 1424554, 74464, 3761056
delta, 6825, 48, 1771188, 66885, 4388838
penal, 6852, 48, 1816038, 67660, 4463951
spurt, 6864, 48, 1476612, 100377, 3975846
frost, 6881, 48, 1584577, 91279, 4120248
tripe, 6895, 48, 1792553, 67723, 4502204
snide, 6918, 48, 1537220, 71623, 4028483
smile, 6926, 48, 1561083, 82379, 4151069
party, 6953, 48, 1770482, 60378, 4460254
poser, 6955, 48, 1551799, 80326, 3969735
blare, 6958, 48, 1710657, 48768, 4245296
storm, 6966, 48, 1507186, 90099, 3945756
slime, 6971, 48, 1549953, 73794, 3979765
stomp, 7003, 48, 1416901, 132895, 3840064
stoke, 7021, 48, 1445577, 69013, 3808301
bagel, 7028, 48, 1748694, 70459, 4378845
inept, 7040, 48, 1796940, 90814, 4728517
gripe, 7042, 48, 1775886, 76871, 4524243
prism, 7047, 48, 1620454, 111257, 4241166
patsy, 7079, 48, 1562431, 90072, 4058803
shank, 7079, 48, 1559747, 72464, 3930284
prime, 7125, 48, 1796303, 71492, 4519948
speak, 7134, 48, 1507103, 85394, 3946045
