word, attempts, failed, match loop, required loop, allowed loop
pluck, 7237, 45, 1568989, 119671, 4228425
welsh, 7245, 45, 1923712, 155510, 5167106
shank, 7278, 45, 1426311, 73829, 3652998
whose, 7365, 45, 1935273, 138213, 5295647
gloss, 7548, 45, 1787780, 141985, 4799242
scant, 6810, 46, 1356660, 88930, 3709055
close, 6834, 46, 1853640, 102486, 4957655
print, 6846, 46, 1889428, 106465, 4949659
shale, 6846, 46, 1487634, 58574, 3701638
table, 6870, 46, 1610128, 57813, 4018118
scion, 6906, 46, 1424116, 92936, 3790692
lathe, 6928, 46, 2037282, 74523, 5007777
sedan, 6937, 46, 1401212, 57444, 3554973
parse, 6954, 46, 1882580, 139406, 5025698
waist, 6999, 46, 2047136, 182494, 5464200
brunt, 7037, 46, 1861811, 89761, 4792145
burnt, 7044, 46, 1886835, 92959, 4910012
serif, 7047, 46, 1456647, 95647, 3758134
cleft, 7062, 46, 1622182, 97081, 4436729
think, 7077, 46, 1813282, 100014, 4803220
crimp, 7087, 46, 1657869, 141315, 4432503
trump, 7120, 46, 1735360, 137881, 4671199
phone, 7120, 46, 1837618, 89183, 4782329
thrum, 7135, 46, 1711647, 128740, 4544292
lusty, 7138, 46, 2012478, 148549, 5606229
stove, 7173, 46, 1550590, 105522, 4246943
swarm, 7178, 46, 1445456, 120679, 3862102
swift, 7236, 46, 1332789, 131554, 3819415
pubic, 7314, 46, 1360046, 72518, 3428668
swing, 7361, 46, 1363121, 119761, 3763094
spool, 7381, 46, 1436310, 108122, 3855501
glyph, 7579, 46, 1640280, 120889, 4464222
scare, 6839, 47, 1406449, 72511, 3678825
plane, 6882, 47, 1743974, 68709, 4451103
tripe, 6911, 47, 1888255, 104008, 4989241
globe, 6926, 47, 1584582, 74268, 4081878
depot, 6933, 47, 1904858, 121968, 5121703
frost, 6949, 47, 1963822, 168897, 5411069
ripen, 6950, 47, 1939376, 119221, 5113403
stalk, 6955, 47, 1408832, 80855, 3711495
smite, 6972, 47, 1539660, 99921, 4285082
spice, 6974, 47, 1385306, 104534, 3877759
copse, 7031, 47, 1856484, 151179, 5215952
bowel, 7067, 47, 1840791, 81293, 4708427
slave, 7092, 47, 1488639, 67429, 3781531
spray, 7096, 47, 1479297, 99077, 4047623
scrub, 7097, 47, 1228445, 113596, 3317582
plumb, 7113, 47, 1489782, 109948, 3884704
sneer, 7118, 47, 1575561, 86846, 4242278
snuck, 7136, 47, 1384927, 103569, 3728353
shiny, 7150, 47, 1485684, 76752, 3976550
synod, 7154, 47, 1470122, 84506, 3971455
scarf, 7167, 47, 1220082, 89699, 3239104
mulch, 7170, 47, 1665815, 125726, 4408082
shied, 7179, 47, 1424066, 82892, 3756801
stump, 7190, 47, 1443571, 172653, 4198780
ditch, 7193, 47, 1710020, 126477, 4643255
phony, 7256, 47, 1751200, 91884, 4645778
welch, 7260, 47, 1700640, 114974, 4422171
musty, 7321, 47, 1883828, 156044, 5412708
spoon, 7421, 47, 1505908, 134860, 4150731
shirt, 6856, 48, 1637417, 113513, 4438302
trend, 6862, 48, 1763079, 84012, 4616347
flirt, 6878, 48, 1773497, 92377, 4689133
built, 6888, 48, 1924261, 79764, 4870833
since, 6890, 48, 1470498, 71314, 3838047
flint, 6911, 48, 1768180, 85826, 4707260
baste, 6926, 48, 1886898, 116642, 5045166
super, 6948, 48, 1572868, 114504, 4239792
adopt, 6959, 48, 1786362, 154821, 4779118
