word, attempts, failed, match loop, required loop, allowed loop
trawl, 6967, 44, 5204623, 102883, 8054767
scrap, 6983, 44, 5640870, 127041, 7961029
stake, 7001, 44, 5431005, 78456, 7913989
inept, 7015, 44, 4582497, 141414, 8228162
scald, 7022, 44, 5763870, 65411, 7632340
sting, 7037, 44, 5292505, 104787, 7782169
singe, 7084, 44, 5341358, 83834, 7749434
shape, 7093, 44, 5553293, 82470, 7895920
phase, 7094, 44, 5367679, 121483, 8344621
shrew, 7164, 44, 5374129, 117446, 8037062
sight, 7173, 44, 5450606, 127097, 7854632
snowy, 7367, 44, 5506258, 121074, 8228961
sloop, 7410, 44, 5566804, 122572, 7980718
saner, 6784, 45, 5412625, 65190, 7844249
shalt, 6804, 45, 5415864, 79663, 7791444
paint, 6816, 45, 4980135, 95619, 8003644
snail, 6843, 45, 5420551, 62206, 7635925
blast, 6857, 45, 5523453, 151345, 8745887
blunt, 6864, 45, 4636191, 89894, 7553766
score, 6865, 45, 5268132, 99536, 7819672
spiel, 6889, 45, 5165281, 105218, 7814197
hotel, 6947, 45, 4650001, 83594, 7879661
glint, 6975, 45, 4647115, 86978, 7721348
bloke, 6986, 45, 4779327, 77542, 7546864
shirk, 7013, 45, 5148920, 99988, 7627891
pulse, 7034, 45, 5025087, 151355, 8286769
crush, 7048, 45, 5186526, 201968, 8483088
blush, 7049, 45, 5097229, 155080, 8112360
smith, 7061, 45, 5376549, 129504, 7980297
stink, 7083, 45, 5156654, 91809, 7806132
taken, 7103, 45, 5244456, 83877, 8111408
truck, 7111, 45, 5183559, 101255, 7911990
flout, 7118, 45, 4826994, 104342, 7711664
raspy, 7159, 45, 5360600, 152107, 8573656
stilt, 7174, 45, 5454547, 86528, 7961370
shrug, 7193, 45, 5448464, 135083, 7933333
shuck, 7230, 45, 5627537, 115802, 7936134
pluck, 7237, 45, 5093567, 119671, 7753003
welsh, 7245, 45, 5052009, 155510, 8295403
shank, 7278, 45, 5611177, 73778, 7833616
whose, 7365, 45, 5281550, 138213, 8641924
gloss, 7548, 45, 5248959, 141917, 8251502
scant, 6810, 46, 5509717, 88930, 7862112
close, 6834, 46, 4976719, 102282, 8071985
print, 6846, 46, 4585182, 106431, 7642593
shale, 6846, 46, 5362932, 58540, 7574184
table, 6870, 46, 5515597, 57728, 7910454
scion, 6906, 46, 5378784, 92647, 7740177
lathe, 6928, 46, 4974247, 74472, 7938065
sedan, 6937, 46, 5501300, 57444, 7655061
parse, 6954, 46, 5253648, 139389, 8392486
waist, 6999, 46, 5478005, 182477, 8892249
brunt, 7037, 46, 4746942, 89115, 7658127
burnt, 7044, 46, 4724479, 92415, 7739670
serif, 7047, 46, 5326470, 95630, 7623354
cleft, 7062, 46, 4963992, 97047, 7770710
think, 7077, 46, 4852794, 99317, 7824703
crimp, 7087, 46, 4945106, 140703, 7714455
trump, 7120, 46, 4960270, 137065, 7887275
phone, 7120, 46, 4755091, 89183, 7699802
thrum, 7135, 46, 4886898, 128723, 7716740
lusty, 7138, 46, 4971081, 148532, 8559683
stove, 7173, 46, 5388432, 105488, 8077700
swarm, 7178, 46, 5660631, 120679, 8077277
swift, 7236, 46, 5559114, 131537, 8042920
pubic, 7314, 46, 5208069, 72518, 7276691
swing, 7361, 46, 5545639, 119727, 7942078
spool, 7381, 46, 5475245, 107510, 7878143
glyph, 7579, 46, 4994589, 120872, 7815898
scare, 6839, 47, 5604540, 72494, 7874096
plane, 6882, 47, 4898647, 68675, 7602990
tripe, 6911, 47, 4782740, 103974, 7880991
globe, 6926, 47, 4847274, 74098, 7331590
depot, 6933, 47, 4748728, 121339, 7959423
frost, 6949, 47, 5011748, 168829, 8450586
ripen, 6950, 47, 4666510, 118779, 7835524
stalk, 6955, 47, 5394663, 80821, 7694608
smite, 6972, 47, 5268847, 99887, 8007320
spice, 6974, 47, 5399118, 104517, 7888666
copse, 7031, 47, 5064373, 151179, 8423841
bowel, 7067, 47, 4882114, 81191, 7733880
slave, 7092, 47, 5549423, 67395, 7839563
spray, 7096, 47, 5484994, 99077, 8053320
scrub, 7097, 47, 5736907, 113562, 7818925
plumb, 7113, 47, 4852286, 109761, 7239800
sneer, 7118, 47, 5256574, 86829, 7920471
snuck, 7136, 47, 5411215, 102702, 7748387
shiny, 7150, 47, 5353235, 76633, 7837441
synod, 7154, 47, 5481788, 84506, 7983121
scarf, 7167, 47, 5835914, 89699, 7854936
mulch, 7170, 47, 4985194, 125284, 7723045
shied, 7179, 47, 5459784, 82161, 7786639
stump, 7190, 47, 5406254, 171599, 8149943
ditch, 7193, 47, 5062423, 126443, 7992991
phony, 7256, 47, 4738895, 91884, 7633473
welch, 7260, 47, 5027183, 114974, 7748714
musty, 7321, 47, 5124863, 156027, 8648220
